id,kandidat,valg,parti,rangering,rangering_original,valgt,personstemmer,slengere,partistemmer,partiprosent,parti_original,count,election,total_hits,decay,hits_after_list_public,cum_hits,hits_before_list_public
kandidat000000,Aage Johan Sundvor,2007,dem,21,15,Ikke valgt,2,1,306000,0.11,Demokratene,3,NA,0,0,0,0,0
kandidat000001,Aamir J. Sheikh,2007,h,19,50,Vara,621,128,68475,25.19,Høyre,749,2007-09-10,97,2.10763902262162,3,181,178
kandidat000002,Abdullah Alsabeehg,2011,ap,3,6,Valgt,3918,123,102707,33.1,Det norske Arbeiderparti,4041,2011-09-12,172,10.2128905868048,18,175,157
kandidat000003,Abdullah Alsabeehg,2015,ap,15,13,Valgt,3656,140,102431,31.97,Arbeiderpartiet,3796,2015-09-14,758,44.5919971594047,66,933,867
kandidat000004,Abel Ole Østerberg,2011,krf,54,55,Ikke valgt,21,2,7571,2.44,Kristelig Folkeparti,23,NA,0,0,0,0,0
kandidat000005,Abel Østerberg,2015,krf,53,55,Ikke valgt,24,2,7827,2.44,Kristelig Folkeparti,26,NA,0,0,0,0,0
kandidat000006,Ada Molne Kjøllesdal,2011,frp,34,23,Ikke valgt,102,7,21852,7.04,Fremskrittspartiet,109,2011-09-12,53,4.57719311066468,0,55,55
kandidat000007,Adam Reiremo,2015,sv,49,38,Ikke valgt,97,11,17445,5.44,Sosialistisk Venstreparti,108,2015-09-14,33,0.183047112488241,1,91,90
kandidat000008,Adam Tumidajewicz,2015,mdg,32,12,Ikke valgt,206,22,26096,8.14,Miljøpartiet De Grønne,228,2015-09-14,13,1.24851838342799,2,87,85
kandidat000009,Adrian Larsen Steinbø,2015,nkp,6,3,Ikke valgt,16,7,240,0.07,Norges Kommunistiske Parti,23,NA,0,0,0,0,0
kandidat000010,Aga Sadlowska,2011,h,59,47,Ikke valgt,247,5,110776,35.7,Høyre,252,2011-09-12,21,0.851952078202158,2,21,19
kandidat000011,Aga Sadlowska,2015,h,49,34,Ikke valgt,390,22,101882,31.8,Høyre,412,2015-09-14,13,0.564988372691471,1,34,33
kandidat000012,Åge Breimo,2007,sfp,18,17,Ikke valgt,3,1,129000,0.05,Samfunnspartiet,4,2007-09-10,3,1.54436134759095e-13,0,3,3
kandidat000013,Agnar Bjarne Thesen,2007,kp,40,39,Ikke valgt,1,0,120000,0.04,Kystpartiet,1,NA,0,0,0,0,0
kandidat000014,Agnar Blom,2007,dem,11,11,Ikke valgt,5,3,306000,0.11,Demokratene,8,2007-09-10,17,0.0502937065411178,0,21,21
kandidat000015,Agnes Arnadottir,2015,v,14,17,Ikke valgt,311,38,21986,6.86,Venstre,349,2015-09-14,98,0.7693633909093,1,99,98
kandidat000016,Agnes Nærland Viljugrein,2015,ap,50,48,Ikke valgt,656,92,102431,31.97,Arbeiderpartiet,748,2015-09-14,61,2.98230897858896,3,62,59
kandidat000017,Ahmed Ali Wais,2007,ap,13,15,Valgt,1646,81,81265,29.89,Det norske Arbeiderparti,1727,2007-09-10,24,0.913540246815424,1,26,25
kandidat000018,Aina Nesmoen,2011,mdg,25,34,Ikke valgt,51,4,7653,2.47,Miljøpartiet De Grønne,55,2011-09-12,1,0.000567085767638304,0,3,3
kandidat000019,Aina Stenersen,2011,frp,6,8,Vara,443,36,21852,7.04,Fremskrittspartiet,479,2011-09-12,245,27.0426887611029,43,250,207
kandidat000020,Aina Stenersen,2015,frp,5,7,Vara,481,42,19311,6.03,Fremskrittspartiet,523,2015-09-14,896,32.9723246921861,52,1146,1094
kandidat000021,Aisha Naz Bhatti,2015,sp,1,1,Ikke valgt,358,325,1926,0.6,Senterpartiet,683,2015-09-14,153,56.7115795427101,101,153,52
kandidat000022,Akhtar Chaudhry,2007,sv,1,3,Valgt,3600,412,28701,10.56,Sosialistisk Venstreparti,4012,2007-09-10,1369,55.8474269533203,107,1593,1486
kandidat000023,Aksel Eide-Fredriksen,2007,mdg,56,45,Ikke valgt,5,0,1687,0.62,Miljøpartiet De Grønne,5,NA,0,0,0,0,0
kandidat000024,Aksel Fridstrøm,2011,h,39,25,Vara,497,18,110776,35.7,Høyre,515,2011-09-12,29,1.63660351283625,2,37,35
kandidat000025,Aksel Fridstrøm,2015,h,28,18,Vara,704,25,101882,31.8,Høyre,729,2015-09-14,16,0.976736471766255,1,53,52
kandidat000026,Aksel Jakobsen,2007,krf,52,40,Ikke valgt,25,0,8368,3.08,Kristelig Folkeparti,25,2007-09-10,141,0.884043291264363,2,155,153
kandidat000027,Aksel Torsnes Mehlum,2007,sp,8,23,Ikke valgt,31,32,2189,0.81,Senterpartiet,63,2007-09-10,8,0.932912783220473,3,9,6
kandidat000028,Aksel Torsnes Mehlum,2011,sp,8,12,Ikke valgt,23,33,1591,0.51,Senterpartiet,56,2011-09-12,10,1.19595642743162,2,19,17
kandidat000029,Aksel Torsnes Mehlum,2015,sp,12,50,Ikke valgt,27,21,1926,0.6,Senterpartiet,48,2015-09-14,11,4.65828933627623,6,30,24
